Crop,Year,Month,Price
Wheat Atta,2021,January,143.3
Bajra,2022,January,183.2
Barley,2022,January,183.6
Castorseed,2022,January,124.6
Cotton,2022,January,159.1
Cotton (Meal/Cake),2022,January,204.5
Cotton Oil,2022,January,158.0
Gram,2022,January,165.4
Groundnut,2022,January,167.3
Groundnut Oil,2022,January,154.1
Jowar,2022,January,142.7
Jute,2022,January,289.4
Lentil,2022,January,202.9
Linseed,2022,January,251.4
Maize,2022,January,157.4
Mesta,2022,January,187.9
Moong,2022,January,164.1
Nigerseed,2022,January,254.5
Onion,2022,January,265.5
Paddy,2022,January,162.9
Palm oil,2022,January,189.6
Peas,2022,January,191.4
Potato,2022,January,171.7
Ragi,2022,January,232.2
Rajma,2022,January,248.7
Rapeseed & Mustard,2022,January,216.8
Rapeseed & Mustard (Meal/Cake),2022,January,246.9
Rapeseed & Mustard Oil,2022,January,224.5
Rice,2022,January,152.8
Safflower,2022,January,217.6
Sesamum,2022,January,184.5
Soya oil,2022,January,170.2
Soybean,2022,January,263.7
Sugarcane,2022,January,199.8
Sunflower,2022,January,169.5
Sunflower oil,2022,January,152.3
Tobacco,2022,January,113.6
Tomato,2022,January,272.8
Tur,2022,January,175.8
Urad,2022,January,178.0
Wheat,2022,January,164.6
Wheat Atta,2022,January,155.0
Bajra,2023,January,224.1
Barley,2023,January,239.7
Castorseed,2023,January,134.8
Cotton,2023,January,172.7
Cotton (Meal/Cake),2023,January,200.5
Cotton Oil,2023,January,154.3
Gram,2023,January,164.8
Groundnut,2023,January,189.7
Groundnut Oil,2023,January,175.4
Jowar,2023,January,204.0
Jute,2023,January,257.4
Lentil,2023,January,199.0
Linseed,2023,January,220.0
Maize,2023,January,190.9
Mesta,2023,January,201.5
Moong,2023,January,167.7
Nigerseed,2023,January,248.3
Onion,2023,January,200.5
Paddy,2023,January,174.6
Palm oil,2023,January,163.8
Peas,2023,January,160.4
Potato,2023,January,184.6
Ragi,2023,January,221.6
Rajma,2023,January,239.6
Rapeseed & Mustard,2023,January,196.2
Rapeseed & Mustard (Meal/Cake),2023,January,196.8
Rapeseed & Mustard Oil,2023,January,189.1
Rice,2023,January,171.7
Safflower,2023,January,208.2
Sesamum,2023,January,206.6
Soya oil,2023,January,171.5
Soybean,2023,January,237.9
Sugarcane,2023,January,210.1
Sunflower,2023,January,163.9
Sunflower oil,2023,January,155.6
Tobacco,2023,January,113.6
Tomato,2023,January,162.3
Tur,2023,January,195.4
Urad,2023,January,189.0
Wheat,2023,January,203.9
Wheat Atta,2023,January,194.7
Bajra,2024,January,246.2
Barley,2024,January,200.0
Castorseed,2024,January,110.0
Cotton,2024,January,152.8
Cotton (Meal/Cake),2024,January,186.4
Cotton Oil,2024,January,118.2
Gram,2024,January,187.6
Groundnut,2024,January,195.9
Groundnut Oil,2024,January,171.4
Jowar,2024,January,236.4
Jute,2024,January,229.2
Lentil,2024,January,189.4
Linseed,2024,January,182.2
Maize,2024,January,195.1
Mesta,2024,January,172.5
Moong,2024,January,200.9
Nigerseed,2024,January,277.4
Onion,2024,January,259.0
Paddy,2024,January,191.3
Palm oil,2024,January,144.8
